,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.79,0.68,0.73,0.86,0.83,0.85,0.29,0.35,0.12,0.14
1,0.87,0.59,0.7,0.88,0.82,0.85,0.43,0.24,0.09,0.15
2,0.75,0.59,0.66,0.83,0.79,0.81,0.29,0.25,0.06,0.12
3,0.68,0.64,0.66,0.84,0.86,0.85,0.32,0.39,0.2,0.31
4,0.83,0.72,0.77,0.85,0.82,0.83,0.38,0.33,0.1,0.13
5,0.78,0.68,0.72,0.83,0.81,0.82,0.36,0.38,0.16,0.12
6,0.8,0.77,0.78,0.85,0.86,0.85,0.3,0.54,0.19,0.27
7,0.77,0.7,0.74,0.83,0.85,0.84,0.32,0.42,0.17,0.26
8,0.78,0.37,0.5,0.82,0.73,0.77,0.28,0.02,0.01,0.02
9,0.85,0.76,0.8,0.84,0.82,0.83,0.26,0.21,0.07,0.11
10,0.67,0.69,0.68,0.83,0.82,0.82,0.27,0.35,0.05,0.14
11,0.78,0.65,0.71,0.85,0.83,0.84,0.41,0.31,0.15,0.18
12,0.85,0.6,0.7,0.83,0.81,0.82,0.22,0.16,0.04,0.08
13,0.79,0.65,0.71,0.84,0.79,0.82,0.28,0.14,0.03,0.06
14,0.79,0.67,0.72,0.82,0.8,0.81,0.31,0.3,0.1,0.15
15,0.6,0.6,0.6,0.84,0.85,0.84,0.22,0.33,0.05,0.21
16,0.56,0.5,0.53,0.81,0.81,0.81,0.23,0.18,0.05,0.11
17,0.61,0.62,0.62,0.83,0.85,0.84,0.25,0.42,0.09,0.18
18,0.59,0.7,0.64,0.85,0.88,0.86,0.35,0.46,0.16,0.24
19,0.69,0.68,0.69,0.83,0.83,0.83,0.25,0.4,0.11,0.18
20,0.7,0.6,0.65,0.82,0.79,0.8,0.32,0.21,0.05,0.09
21,0.77,0.58,0.66,0.85,0.8,0.82,0.33,0.23,0.06,0.09
22,0.89,0.7,0.79,0.86,0.84,0.85,0.39,0.38,0.15,0.19
23,0.84,0.64,0.73,0.82,0.81,0.82,0.31,0.21,0.07,0.11
24,0.66,0.6,0.63,0.83,0.81,0.82,0.33,0.29,0.09,0.13
25,0.66,0.7,0.68,0.81,0.84,0.82,0.28,0.48,0.13,0.22
26,0.74,0.63,0.68,0.87,0.82,0.84,0.31,0.31,0.11,0.16
27,0.77,0.67,0.72,0.86,0.82,0.84,0.37,0.42,0.21,0.23
