,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.67,0.56,0.61,0.84,0.78,0.81,0.26,0.11,0.04,0.07,,0.815980066,0.652026578,0.721627907,0.863322259,0.811561462,0.836511628,0.398438538,0.257142857,0.131860465,0.163255814
1,0.85,0.75,0.8,0.87,0.83,0.85,0.36,0.49,0.2,0.24,,,,,,,,,,,
2,0.86,0.72,0.79,0.89,0.82,0.86,0.39,0.16,0.09,0.09,,,,,,,,,,,
3,0.8,0.61,0.7,0.84,0.8,0.82,0.34,0.19,0.08,0.1,,,,,,,,,,,
4,0.77,0.48,0.59,0.89,0.78,0.83,0.37,0.13,0.11,0.1,,,,,,,,,,,
5,0.65,0.48,0.55,0.87,0.79,0.83,0.38,0.09,0.02,0.08,,,,,,,,,,,
6,0.9,0.61,0.73,0.91,0.82,0.86,0.57,0.15,0.11,0.13,,,,,,,,,,,
7,0.87,0.69,0.77,0.85,0.8,0.82,0.41,0.19,0.09,0.13,,,,,,,,,,,
8,0.91,0.74,0.82,0.88,0.85,0.86,0.44,0.36,0.19,0.25,,,,,,,,,,,
9,0.82,0.71,0.76,0.87,0.82,0.84,0.37,0.27,0.13,0.16,,,,,,,,,,,
10,0.87,0.65,0.74,0.87,0.83,0.85,0.44,0.19,0.11,0.12,,,,,,,,,,,
11,0.84,0.72,0.77,0.86,0.82,0.84,0.41,0.22,0.1,0.15,,,,,,,,,,,
12,0.85,0.48,0.62,0.87,0.78,0.82,0.42,0.1,0.03,0.07,,,,,,,,,,,
13,0.91,0.77,0.83,0.87,0.86,0.86,0.45,0.35,0.2,0.21,,,,,,,,,,,
14,0.83,0.57,0.67,0.85,0.8,0.82,0.41,0.17,0.08,0.11,,,,,,,,,,,
