,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.68,0.54,0.6,0.84,0.79,0.81,0.23,0.09,0.02,0.05,,0.761466667,0.671233333,0.709466667,0.855866667,0.8171,0.835766667,0.3766,0.296766667,0.138833333,0.172966667
1,0.8,0.82,0.81,0.86,0.86,0.86,0.37,0.64,0.32,0.3,,,,,,,,,,,
2,0.84,0.74,0.79,0.89,0.8,0.84,0.38,0.11,0.06,0.08,,,,,,,,,,,
3,0.76,0.66,0.71,0.86,0.83,0.85,0.35,0.29,0.12,0.17,,,,,,,,,,,
4,0.72,0.5,0.59,0.85,0.75,0.8,0.26,0.07,0.03,0.05,,,,,,,,,,,
5,0.77,0.48,0.59,0.87,0.77,0.82,0.35,0.08,0.04,0.07,,,,,,,,,,,
6,0.9,0.67,0.77,0.91,0.84,0.87,0.58,0.16,0.12,0.15,,,,,,,,,,,
7,0.87,0.72,0.79,0.84,0.81,0.82,0.4,0.16,0.08,0.11,,,,,,,,,,,
8,0.81,0.81,0.81,0.88,0.88,0.88,0.41,0.62,0.3,0.37,,,,,,,,,,,
9,0.61,0.58,0.59,0.83,0.84,0.84,0.22,0.33,0.03,0.16,,,,,,,,,,,
10,0.75,0.64,0.69,0.85,0.82,0.84,0.28,0.23,0.08,0.11,,,,,,,,,,,
11,0.86,0.72,0.78,0.87,0.83,0.85,0.44,0.2,0.09,0.12,,,,,,,,,,,
12,0.59,0.44,0.51,0.85,0.74,0.79,0.35,0.1,0.04,0.07,,,,,,,,,,,
13,0.84,0.72,0.78,0.85,0.84,0.85,0.33,0.39,0.13,0.16,,,,,,,,,,,
14,0.82,0.69,0.75,0.87,0.84,0.86,0.42,0.31,0.19,0.16,,,,,,,,,,,
15,0.7,0.47,0.56,0.83,0.78,0.8,0.27,0.05,0.01,0.03,,,,,,,,,,,
16,0.89,0.76,0.82,0.91,0.86,0.88,0.54,0.44,0.3,0.31,,,,,,,,,,,
17,0.85,0.7,0.77,0.88,0.85,0.87,0.41,0.35,0.15,0.22,,,,,,,,,,,
18,0.73,0.72,0.72,0.82,0.79,0.8,0.32,0.26,0.09,0.13,,,,,,,,,,,
19,0.85,0.6,0.7,0.86,0.78,0.82,0.47,0.13,0.07,0.09,,,,,,,,,,,
20,0.75,0.65,0.7,0.82,0.77,0.8,0.33,0.19,0.07,0.11,,,,,,,,,,,
21,0.52,0.51,0.52,0.8,0.79,0.79,0.3,0.17,0.02,0.11,,,,,,,,,,,
22,0.71,0.51,0.59,0.84,0.74,0.79,0.18,0.06,0.01,0.04,,,,,,,,,,,
23,0.66,0.57,0.61,0.83,0.78,0.81,0.3,0.19,0.07,0.1,,,,,,,,,,,
24,0.9,0.63,0.74,0.9,0.84,0.87,0.53,0.18,0.12,0.16,,,,,,,,,,,
25,0.78,0.86,0.82,0.85,0.85,0.85,0.36,0.79,0.41,0.4,,,,,,,,,,,
26,0.82,0.61,0.7,0.91,0.86,0.88,0.61,0.27,0.21,0.24,,,,,,,,,,,
27,0.68,0.74,0.71,0.82,0.79,0.8,0.25,0.36,0.09,0.15,,,,,,,,,,,
28,0.92,0.71,0.8,0.88,0.83,0.85,0.64,0.22,0.16,0.17,,,,,,,,,,,
29,0.65,0.51,0.57,0.84,0.79,0.82,0.35,0.19,0.04,0.08,,,,,,,,,,,
30,0.7,0.53,0.6,0.86,0.83,0.85,0.34,0.33,0.12,0.16,,,,,,,,,,,
31,0.7,0.58,0.64,0.87,0.83,0.85,0.34,0.33,0.13,0.15,,,,,,,,,,,
32,0.87,0.65,0.74,0.89,0.81,0.85,0.52,0.28,0.18,0.21,,,,,,,,,,,
33,0.9,0.78,0.84,0.86,0.84,0.85,0.6,0.29,0.22,0.21,,,,,,,,,,,
34,0.59,0.59,0.59,0.82,0.82,0.82,0.28,0.29,0.05,0.16,,,,,,,,,,,
35,0.8,0.66,0.72,0.86,0.83,0.84,0.31,0.44,0.12,0.19,,,,,,,,,,,
36,0.71,0.76,0.74,0.84,0.85,0.85,0.32,0.49,0.23,0.22,,,,,,,,,,,
37,0.57,0.59,0.58,0.82,0.82,0.82,0.27,0.37,0.06,0.18,,,,,,,,,,,
38,0.52,0.48,0.5,0.82,0.81,0.81,0.29,0.5,0.16,0.24,,,,,,,,,,,
39,0.73,0.8,0.76,0.86,0.87,0.86,0.3,0.59,0.27,0.36,,,,,,,,,,,
40,0.56,0.46,0.5,0.84,0.8,0.82,0.36,0.22,0.04,0.11,,,,,,,,,,,
41,0.61,0.52,0.56,0.83,0.8,0.81,0.28,0.2,0.02,0.11,,,,,,,,,,,
42,0.84,0.74,0.79,0.87,0.84,0.86,0.45,0.26,0.14,0.14,,,,,,,,,,,
43,0.81,0.62,0.7,0.86,0.8,0.83,0.33,0.13,0.07,0.08,,,,,,,,,,,
44,0.93,0.79,0.86,0.92,0.87,0.9,0.68,0.36,0.27,0.3,,,,,,,,,,,
45,0.84,0.7,0.77,0.87,0.79,0.83,0.38,0.26,0.14,0.15,,,,,,,,,,,
46,0.79,0.75,0.77,0.86,0.85,0.86,0.39,0.27,0.14,0.18,,,,,,,,,,,
47,0.97,0.66,0.78,0.93,0.86,0.89,0.63,0.27,0.21,0.15,,,,,,,,,,,
48,0.66,0.55,0.6,0.82,0.78,0.8,0.2,0.08,0.03,0.06,,,,,,,,,,,
49,0.79,0.63,0.7,0.84,0.78,0.81,0.35,0.08,0.03,0.05,,,,,,,,,,,
50,0.63,0.79,0.7,0.83,0.82,0.82,0.34,0.4,0.14,0.26,,,,,,,,,,,
51,0.66,0.68,0.67,0.83,0.84,0.84,0.39,0.55,0.17,0.31,,,,,,,,,,,
52,0.77,0.7,0.74,0.85,0.84,0.85,0.31,0.37,0.15,0.17,,,,,,,,,,,
53,0.76,0.69,0.72,0.86,0.83,0.85,0.33,0.34,0.1,0.17,,,,,,,,,,,
54,0.61,0.64,0.63,0.83,0.79,0.81,0.28,0.28,0.06,0.14,,,,,,,,,,,
55,0.81,0.55,0.66,0.9,0.8,0.85,0.47,0.14,0.07,0.1,,,,,,,,,,,
56,0.73,0.75,0.74,0.85,0.8,0.82,0.44,0.27,0.12,0.18,,,,,,,,,,,
57,0.73,0.82,0.78,0.85,0.88,0.86,0.33,0.74,0.43,0.43,,,,,,,,,,,
58,0.8,0.66,0.72,0.86,0.79,0.83,0.37,0.14,0.07,0.1,,,,,,,,,,,
59,0.82,0.43,0.56,0.87,0.76,0.81,0.33,0.05,0.02,0.04,,,,,,,,,,,
60,0.72,0.54,0.62,0.85,0.77,0.81,0.36,0.18,0.08,0.1,,,,,,,,,,,
61,0.91,0.69,0.79,0.93,0.85,0.89,0.58,0.31,0.23,0.22,,,,,,,,,,,
62,0.91,0.73,0.81,0.88,0.83,0.85,0.47,0.28,0.13,0.17,,,,,,,,,,,
63,0.69,0.72,0.7,0.81,0.81,0.81,0.28,0.53,0.15,0.2,,,,,,,,,,,
64,0.85,0.76,0.8,0.88,0.84,0.86,0.44,0.31,0.19,0.2,,,,,,,,,,,
