,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.65,0.61,0.63,0.84,0.84,0.84,0.24,0.3,0.07,0.15
1,0.67,0.63,0.65,0.85,0.84,0.85,0.29,0.28,0.08,0.16
2,0.6,0.58,0.59,0.81,0.79,0.8,0.25,0.29,0.04,0.13
3,0.64,0.68,0.66,0.82,0.83,0.82,0.27,0.33,0.08,0.17
4,0.68,0.86,0.76,0.82,0.82,0.82,0.33,0.35,0.1,0.21
5,0.74,0.76,0.75,0.83,0.86,0.84,0.33,0.48,0.2,0.23
6,0.73,0.83,0.78,0.83,0.88,0.85,0.32,0.67,0.28,0.36
7,0.7,0.69,0.7,0.81,0.84,0.82,0.25,0.48,0.08,0.21
8,0.62,0.42,0.5,0.85,0.76,0.8,0.29,0.04,0.01,0.04
9,0.73,0.75,0.74,0.84,0.84,0.84,0.23,0.46,0.13,0.19
10,0.63,0.75,0.68,0.8,0.82,0.81,0.24,0.41,0.03,0.18
11,0.72,0.67,0.69,0.83,0.83,0.83,0.32,0.33,0.09,0.17
12,0.75,0.69,0.72,0.83,0.83,0.83,0.22,0.36,0.09,0.16
13,0.6,0.62,0.61,0.83,0.8,0.81,0.25,0.28,0.05,0.13
14,0.68,0.73,0.71,0.82,0.83,0.83,0.33,0.43,0.17,0.24
15,0.67,0.52,0.59,0.84,0.83,0.83,0.23,0.23,0.04,0.13
16,0.71,0.56,0.63,0.87,0.85,0.86,0.38,0.26,0.14,0.16
17,0.59,0.62,0.6,0.82,0.82,0.82,0.23,0.31,0.06,0.15
18,0.88,0.78,0.83,0.88,0.87,0.88,0.44,0.41,0.16,0.22
19,0.6,0.68,0.64,0.8,0.83,0.81,0.19,0.5,0.06,0.21
20,0.73,0.65,0.69,0.84,0.82,0.83,0.35,0.43,0.16,0.14
21,0.74,0.62,0.67,0.85,0.8,0.83,0.36,0.23,0.07,0.11
22,0.79,0.76,0.77,0.82,0.84,0.83,0.34,0.43,0.14,0.21
23,0.66,0.71,0.68,0.8,0.85,0.83,0.24,0.44,0.12,0.2
24,0.75,0.69,0.72,0.84,0.85,0.85,0.35,0.36,0.13,0.2
25,0.77,0.85,0.81,0.84,0.88,0.86,0.37,0.65,0.35,0.34
26,0.73,0.67,0.7,0.86,0.84,0.85,0.29,0.41,0.15,0.25
27,0.68,0.75,0.71,0.83,0.86,0.84,0.31,0.37,0.13,0.21
28,0.62,0.56,0.59,0.84,0.82,0.83,0.31,0.23,0.06,0.12
29,0.66,0.7,0.68,0.81,0.84,0.82,0.31,0.48,0.11,0.25
30,0.74,0.7,0.72,0.83,0.84,0.84,0.3,0.46,0.15,0.22
31,0.56,0.55,0.55,0.8,0.77,0.79,0.21,0.22,0.03,0.08
32,0.75,0.72,0.73,0.84,0.86,0.85,0.32,0.48,0.23,0.33
33,0.73,0.79,0.76,0.84,0.85,0.84,0.2,0.48,0.1,0.17
34,0.67,0.65,0.66,0.84,0.83,0.83,0.25,0.3,0.09,0.13
35,0.77,0.75,0.76,0.85,0.86,0.86,0.38,0.5,0.27,0.26
36,0.66,0.63,0.65,0.82,0.82,0.82,0.25,0.29,0.06,0.14
37,0.71,0.72,0.71,0.85,0.85,0.85,0.22,0.46,0.16,0.21
38,0.67,0.67,0.67,0.85,0.83,0.84,0.26,0.27,0.06,0.13
39,0.74,0.65,0.69,0.85,0.86,0.85,0.28,0.34,0.11,0.16
40,0.84,0.76,0.8,0.85,0.86,0.85,0.4,0.53,0.21,0.26
41,0.65,0.67,0.66,0.83,0.83,0.83,0.2,0.27,0.05,0.12
42,0.75,0.75,0.75,0.83,0.84,0.83,0.33,0.35,0.13,0.16
43,0.75,0.66,0.7,0.88,0.84,0.86,0.33,0.31,0.11,0.2
44,0.65,0.67,0.66,0.82,0.8,0.81,0.23,0.3,0.07,0.13
45,0.7,0.73,0.71,0.83,0.84,0.83,0.24,0.48,0.11,0.21
46,0.67,0.72,0.7,0.81,0.84,0.82,0.24,0.46,0.06,0.17
47,0.91,0.71,0.8,0.9,0.86,0.88,0.65,0.3,0.26,0.27
48,0.74,0.79,0.77,0.83,0.84,0.83,0.26,0.51,0.12,0.2
49,0.63,0.68,0.66,0.83,0.84,0.84,0.27,0.38,0.08,0.21
50,0.86,0.71,0.78,0.9,0.85,0.87,0.45,0.43,0.22,0.24
51,0.67,0.7,0.69,0.84,0.86,0.85,0.23,0.44,0.15,0.25
52,0.76,0.84,0.8,0.85,0.85,0.85,0.37,0.53,0.31,0.39
53,0.69,0.67,0.68,0.84,0.83,0.84,0.26,0.4,0.11,0.2
54,0.78,0.8,0.79,0.87,0.88,0.87,0.43,0.36,0.17,0.25
55,0.66,0.6,0.63,0.85,0.81,0.83,0.32,0.25,0.04,0.14
56,0.62,0.55,0.58,0.85,0.8,0.83,0.32,0.25,0.06,0.1
57,0.87,0.87,0.87,0.88,0.9,0.89,0.49,0.59,0.41,0.27
58,0.68,0.62,0.65,0.84,0.8,0.82,0.3,0.19,0.02,0.11
59,0.68,0.65,0.67,0.86,0.85,0.86,0.33,0.29,0.08,0.14
60,0.59,0.61,0.6,0.81,0.81,0.81,0.25,0.38,0.08,0.18
61,0.67,0.71,0.69,0.8,0.86,0.83,0.32,0.52,0.2,0.23
62,0.69,0.73,0.71,0.82,0.81,0.82,0.24,0.37,0.09,0.19
63,0.75,0.54,0.63,0.85,0.79,0.82,0.23,0.14,0.04,0.08
