,CBERT,BERTScore,BARTScore,R-1,R-2,R-L,,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
0,0.71,0.85,0.25,0.09,0.02,0.05,,0.79696,0.86004,0.38012,0.26362,0.13132,0.16442
1,0.88,0.89,0.46,0.57,0.33,0.36,,,,,,,
2,0.86,0.9,0.4,0.17,0.1,0.1,,,,,,,
3,0.8,0.85,0.31,0.17,0.06,0.09,,,,,,,
4,0.71,0.87,0.26,0.1,0.04,0.07,,,,,,,
5,0.77,0.89,0.34,0.1,0.04,0.08,,,,,,,
6,0.9,0.93,0.57,0.22,0.16,0.19,,,,,,,
7,0.77,0.84,0.29,0.21,0.06,0.12,,,,,,,
8,0.85,0.84,0.33,0.36,0.14,0.18,,,,,,,
9,0.9,0.91,0.56,0.31,0.22,0.27,,,,,,,
10,0.82,0.85,0.38,0.23,0.12,0.15,,,,,,,
11,0.83,0.86,0.4,0.22,0.1,0.14,,,,,,,
12,0.88,0.9,0.5,0.13,0.07,0.09,,,,,,,
13,0.86,0.86,0.36,0.3,0.14,0.17,,,,,,,
14,0.85,0.87,0.39,0.22,0.11,0.16,,,,,,,
15,0.79,0.83,0.37,0.08,0.03,0.06,,,,,,,
16,0.89,0.92,0.5,0.5,0.34,0.39,,,,,,,
17,0.92,0.89,0.5,0.28,0.16,0.21,,,,,,,
18,0.76,0.86,0.38,0.29,0.12,0.16,,,,,,,
19,0.88,0.88,0.5,0.09,0.06,0.06,,,,,,,
20,0.79,0.85,0.35,0.25,0.1,0.15,,,,,,,
21,0.81,0.85,0.51,0.17,0.1,0.11,,,,,,,
22,0.71,0.83,0.17,0.04,0.01,0.03,,,,,,,
23,0.82,0.88,0.39,0.23,0.12,0.13,,,,,,,
24,0.89,0.9,0.56,0.2,0.14,0.17,,,,,,,
25,0.84,0.87,0.42,0.65,0.34,0.38,,,,,,,
26,0.72,0.86,0.41,0.12,0.04,0.08,,,,,,,
27,0.77,0.83,0.28,0.35,0.11,0.18,,,,,,,
28,0.84,0.86,0.46,0.24,0.12,0.13,,,,,,,
29,0.66,0.84,0.34,0.14,0.02,0.07,,,,,,,
30,0.67,0.84,0.31,0.18,0.05,0.11,,,,,,,
31,0.7,0.84,0.3,0.09,0.03,0.08,,,,,,,
32,0.92,0.93,0.59,0.39,0.3,0.33,,,,,,,
33,0.73,0.86,0.37,0.33,0.13,0.17,,,,,,,
34,0.65,0.82,0.34,0.15,0.05,0.08,,,,,,,
35,0.9,0.86,0.39,0.25,0.12,0.14,,,,,,,
36,0.74,0.87,0.36,0.52,0.27,0.33,,,,,,,
37,0.85,0.82,0.3,0.2,0.1,0.13,,,,,,,
38,0.8,0.86,0.36,0.37,0.19,0.19,,,,,,,
