,CBERT,BERTScore,BARTScore,R-1,R-L
0,0.86,0.78,0.33,1.0,1.0
1,0.83,0.78,0.32,0.99,0.99
2,0.9,0.78,0.43,1.0,1.0
3,0.85,0.77,0.27,0.99,0.99
4,0.81,0.74,0.3,1.0,1.0
5,0.77,0.7,0.7,1.0,1.0
6,0.82,0.78,0.54,1.0,1.0
7,0.92,0.74,0.25,0.99,0.99
8,0.89,0.77,0.27,1.0,1.0
9,0.8,0.74,0.27,1.0,1.0
10,0.89,0.74,0.27,0.99,0.99
11,0.88,0.73,0.29,0.99,0.99
12,0.84,0.81,0.38,1.0,1.0
13,0.88,0.72,0.29,1.0,1.0
14,0.85,0.78,0.33,0.99,0.99
15,0.89,0.79,0.4,1.0,1.0
16,0.88,0.71,0.44,0.99,0.99
17,0.83,0.82,0.44,0.99,0.99
18,0.82,0.77,0.36,1.0,1.0
19,0.9,0.77,0.26,1.0,1.0
