,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
0,0.69,0.79,0.27,0.13,0.02,0.07
1,0.63,0.81,0.16,0.05,0.01,0.04
2,0.7,0.8,0.14,0.02,0.0,0.01
3,0.54,0.78,0.15,0.16,0.0,0.09
4,0.69,0.79,0.12,0.12,0.01,0.07
5,0.71,0.8,0.19,0.07,0.01,0.04
6,0.62,0.78,0.23,0.14,0.01,0.08
7,0.64,0.79,0.23,0.09,0.01,0.06
8,0.68,0.79,0.22,0.06,0.0,0.03
9,0.64,0.78,0.21,0.05,0.01,0.03
10,0.65,0.79,0.22,0.13,0.01,0.06
11,0.65,0.78,0.17,0.06,0.0,0.03
12,0.69,0.77,0.16,0.05,0.01,0.03
13,0.63,0.78,0.18,0.04,0.0,0.03
14,0.62,0.79,0.21,0.05,0.01,0.04
15,0.63,0.79,0.25,0.33,0.04,0.16
16,0.54,0.79,0.18,0.17,0.02,0.09
17,0.5,0.79,0.12,0.24,0.02,0.12
18,0.46,0.76,0.31,0.23,0.02,0.13
19,0.61,0.8,0.19,0.11,0.01,0.06
20,0.68,0.79,0.2,0.1,0.01,0.05
21,0.6,0.77,0.18,0.09,0.0,0.06
22,0.69,0.79,0.1,0.05,0.01,0.02
23,0.67,0.79,0.21,0.04,0.0,0.02
24,0.62,0.78,0.27,0.13,0.02,0.07
25,0.64,0.8,0.24,0.2,0.03,0.09
26,0.68,0.79,0.16,0.11,0.01,0.06
27,0.57,0.79,0.16,0.12,0.01,0.06
28,0.54,0.8,0.11,0.14,0.01,0.08
29,0.67,0.81,0.21,0.03,0.01,0.02
30,0.59,0.81,0.16,0.14,0.01,0.07
31,0.61,0.77,0.21,0.05,0.01,0.04
32,0.59,0.79,0.19,0.16,0.01,0.08
33,0.61,0.78,0.18,0.13,0.02,0.07
34,0.57,0.78,0.2,0.16,0.01,0.08
35,0.5,0.78,0.16,0.06,0.0,0.03
36,0.67,0.78,0.17,0.08,0.01,0.04
37,0.57,0.79,0.11,0.07,0.0,0.04
38,0.52,0.79,0.14,0.31,0.03,0.17
39,0.59,0.8,0.18,0.13,0.01,0.08
40,0.62,0.79,0.22,0.15,0.03,0.09
41,0.73,0.8,0.17,0.05,0.01,0.03
42,0.66,0.77,0.28,0.12,0.01,0.06
43,0.72,0.8,0.17,0.03,0.01,0.02
44,0.69,0.78,0.22,0.08,0.0,0.04
45,0.66,0.8,0.22,0.08,0.01,0.04
46,0.59,0.79,0.16,0.06,0.01,0.04
47,0.63,0.8,0.18,0.15,0.02,0.07
48,0.65,0.79,0.19,0.16,0.02,0.09
49,0.55,0.8,0.16,0.11,0.01,0.07
50,0.63,0.81,0.13,0.11,0.01,0.06
51,0.74,0.8,0.17,0.06,0.01,0.03
52,0.68,0.78,0.2,0.08,0.01,0.04
53,0.64,0.81,0.2,0.09,0.01,0.05
54,0.55,0.78,0.16,0.17,0.01,0.08
55,0.62,0.79,0.17,0.04,0.01,0.03
56,0.54,0.77,0.21,0.22,0.0,0.13
57,0.49,0.78,0.13,0.25,0.03,0.12
58,0.64,0.79,0.15,0.12,0.01,0.07
59,0.64,0.8,0.21,0.06,0.01,0.04
60,0.67,0.79,0.18,0.06,0.0,0.04
61,0.61,0.79,0.19,0.08,0.0,0.05
62,0.6,0.77,0.15,0.01,0.0,0.01
63,0.56,0.78,0.14,0.11,0.01,0.05
64,0.68,0.79,0.14,0.03,0.0,0.02
65,0.65,0.79,0.15,0.02,0.0,0.02
66,0.63,0.79,0.27,0.07,0.01,0.05
67,0.73,0.78,0.2,0.09,0.01,0.05
68,0.65,0.78,0.19,0.11,0.01,0.06
69,0.72,0.79,0.18,0.1,0.01,0.05
70,0.61,0.79,0.16,0.18,0.01,0.1
71,0.66,0.79,0.19,0.24,0.03,0.11
72,0.65,0.8,0.17,0.03,0.01,0.03
73,0.61,0.79,0.18,0.12,0.01,0.06
74,0.38,0.77,0.11,0.14,0.0,0.08
75,0.58,0.78,0.14,0.03,0.0,0.02
76,0.67,0.79,0.29,0.05,0.01,0.03
77,0.66,0.8,0.19,0.1,0.01,0.06
78,0.59,0.77,0.18,0.19,0.02,0.1
79,0.6,0.79,0.17,0.02,0.0,0.01
80,0.52,0.78,0.18,0.14,0.0,0.07
81,0.61,0.8,0.15,0.04,0.01,0.03
82,0.57,0.78,0.17,0.07,0.01,0.04
83,0.66,0.8,0.16,0.07,0.01,0.03
84,0.62,0.78,0.18,0.11,0.01,0.06
85,0.62,0.78,0.23,0.04,0.0,0.03
86,0.66,0.78,0.15,0.1,0.01,0.06
87,0.63,0.77,0.15,0.1,0.01,0.05
88,0.64,0.8,0.16,0.06,0.01,0.04
89,0.39,0.77,0.18,0.13,0.0,0.09
90,0.63,0.8,0.11,0.08,0.01,0.05
91,0.58,0.78,0.18,0.19,0.01,0.09
92,0.54,0.79,0.22,0.2,0.02,0.1
93,0.72,0.79,0.17,0.03,0.0,0.02
94,0.66,0.8,0.28,0.1,0.02,0.06
95,0.63,0.8,0.22,0.09,0.02,0.05
96,0.61,0.79,0.19,0.11,0.01,0.06
97,0.71,0.79,0.18,0.06,0.01,0.04
98,0.69,0.79,0.21,0.14,0.02,0.06
99,0.66,0.79,0.28,0.05,0.0,0.04
