,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.77,0.56,0.65,0.86,0.66,0.74,0.34,0.09,0.03,0.07
1,0.85,0.82,0.83,0.85,0.71,0.77,0.4,0.63,0.35,0.43
2,0.8,0.71,0.75,0.87,0.67,0.76,0.31,0.19,0.09,0.12
3,0.82,0.63,0.71,0.8,0.71,0.75,0.27,0.18,0.08,0.1
4,0.83,0.51,0.63,0.88,0.68,0.77,0.42,0.13,0.11,0.11
5,0.66,0.52,0.58,0.88,0.79,0.83,0.3,0.21,0.08,0.1
6,0.91,0.62,0.74,0.9,0.71,0.79,0.61,0.2,0.17,0.19
7,0.85,0.7,0.77,0.82,0.69,0.75,0.25,0.15,0.08,0.11
8,0.87,0.73,0.79,0.83,0.71,0.77,0.29,0.39,0.18,0.19
9,0.84,0.72,0.77,0.84,0.7,0.76,0.38,0.28,0.14,0.18
10,0.83,0.64,0.72,0.83,0.71,0.77,0.29,0.24,0.12,0.14
11,0.86,0.75,0.8,0.81,0.63,0.71,0.36,0.28,0.15,0.15
12,0.76,0.48,0.59,0.84,0.69,0.76,0.42,0.13,0.04,0.09
13,0.92,0.8,0.86,0.82,0.69,0.75,0.34,0.37,0.2,0.23
14,0.72,0.56,0.63,0.84,0.71,0.77,0.33,0.18,0.06,0.11
15,0.73,0.5,0.59,0.81,0.7,0.75,0.27,0.08,0.03,0.06
16,0.73,0.57,0.64,0.82,0.6,0.69,0.28,0.2,0.07,0.11
17,0.81,0.65,0.72,0.86,0.73,0.79,0.37,0.25,0.1,0.13
18,0.72,0.69,0.71,0.82,0.67,0.74,0.32,0.31,0.11,0.17
19,0.78,0.59,0.67,0.83,0.66,0.74,0.32,0.09,0.04,0.06
