,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.72,0.51,0.59,0.84,0.69,0.76,0.24,0.1,0.03,0.07
1,0.84,0.78,0.81,0.85,0.71,0.78,0.38,0.55,0.25,0.32
2,0.71,0.71,0.71,0.84,0.68,0.75,0.27,0.14,0.04,0.11
3,0.8,0.65,0.72,0.81,0.68,0.74,0.27,0.18,0.07,0.09
4,0.5,0.45,0.48,0.83,0.62,0.71,0.18,0.07,0.0,0.05
5,0.62,0.47,0.54,0.87,0.78,0.82,0.33,0.09,0.01,0.08
6,0.81,0.59,0.68,0.86,0.69,0.77,0.43,0.16,0.09,0.14
7,0.81,0.71,0.76,0.8,0.65,0.71,0.23,0.19,0.09,0.13
8,0.88,0.71,0.78,0.82,0.72,0.77,0.28,0.3,0.15,0.18
9,0.87,0.73,0.8,0.87,0.73,0.79,0.48,0.24,0.17,0.2
10,0.75,0.62,0.68,0.84,0.7,0.76,0.25,0.2,0.06,0.1
11,0.85,0.72,0.78,0.81,0.65,0.72,0.3,0.21,0.1,0.14
12,0.71,0.44,0.54,0.87,0.7,0.77,0.4,0.12,0.05,0.09
13,0.89,0.84,0.86,0.83,0.68,0.75,0.29,0.27,0.13,0.16
14,0.85,0.61,0.71,0.82,0.71,0.76,0.37,0.21,0.09,0.13
15,0.77,0.49,0.6,0.81,0.68,0.74,0.27,0.09,0.04,0.07
16,0.6,0.54,0.57,0.78,0.59,0.67,0.25,0.2,0.04,0.11
17,0.87,0.68,0.77,0.87,0.74,0.8,0.44,0.25,0.13,0.17
18,0.68,0.69,0.68,0.8,0.67,0.73,0.26,0.31,0.05,0.15
19,0.92,0.6,0.73,0.82,0.65,0.73,0.31,0.1,0.08,0.07
