,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.7,0.52,0.6,0.83,0.66,0.74,0.25,0.09,0.02,0.05
1,0.88,0.8,0.84,0.85,0.69,0.76,0.36,0.5,0.28,0.31
2,0.8,0.7,0.75,0.85,0.69,0.76,0.37,0.17,0.08,0.1
3,0.77,0.63,0.7,0.82,0.69,0.75,0.27,0.16,0.06,0.09
4,0.72,0.52,0.6,0.86,0.63,0.73,0.28,0.1,0.04,0.08
5,0.62,0.46,0.53,0.87,0.76,0.81,0.35,0.12,0.05,0.09
6,0.8,0.64,0.71,0.86,0.67,0.75,0.41,0.17,0.09,0.13
7,0.77,0.69,0.73,0.8,0.67,0.73,0.24,0.2,0.06,0.09
8,0.89,0.74,0.81,0.85,0.72,0.78,0.35,0.39,0.21,0.25
9,0.81,0.77,0.79,0.86,0.67,0.75,0.36,0.36,0.18,0.19
10,0.83,0.64,0.72,0.85,0.71,0.77,0.37,0.23,0.12,0.13
11,0.81,0.71,0.76,0.81,0.64,0.71,0.31,0.2,0.07,0.1
12,0.76,0.47,0.58,0.84,0.68,0.75,0.42,0.13,0.05,0.09
13,0.92,0.83,0.87,0.83,0.71,0.77,0.31,0.21,0.12,0.15
14,0.85,0.64,0.73,0.86,0.75,0.8,0.47,0.21,0.13,0.16
15,0.78,0.52,0.62,0.82,0.7,0.75,0.27,0.09,0.04,0.07
16,0.78,0.59,0.67,0.78,0.59,0.67,0.25,0.22,0.11,0.17
17,0.92,0.7,0.8,0.87,0.68,0.76,0.49,0.27,0.15,0.19
18,0.67,0.7,0.69,0.81,0.68,0.74,0.27,0.27,0.06,0.14
19,0.9,0.61,0.72,0.82,0.61,0.7,0.3,0.09,0.06,0.06
