,CBERT,BERTScore,BARTScore,R-1,R-L,,CBERT,BERTScore,BARTScore,R-1,R-L
0,0.88,0.78,0.46,1,1,,0.86362,0.77932,0.37066,0.99568,0.99566
1,0.88,0.81,0.51,0.99,0.99,,,,,,
2,0.91,0.8,0.54,1,1,,,,,,
3,0.87,0.8,0.29,1,1,,,,,,
4,0.84,0.74,0.43,1,1,,,,,,
5,0.77,0.7,0.7,1,1,,,,,,
6,0.81,0.79,0.53,0.99,0.99,,,,,,
7,0.9,0.76,0.32,1,1,,,,,,
8,0.85,0.78,0.32,1,1,,,,,,
9,0.77,0.73,0.23,1,1,,,,,,
10,0.88,0.81,0.46,0.99,0.99,,,,,,
11,0.91,0.72,0.26,0.99,0.99,,,,,,
12,0.84,0.81,0.42,1,1,,,,,,
13,0.88,0.72,0.29,1,1,,,,,,
14,0.84,0.81,0.41,1,1,,,,,,
15,0.85,0.76,0.26,1,1,,,,,,
16,0.91,0.7,0.43,0.99,0.99,,,,,,
17,0.84,0.82,0.4,0.99,0.99,,,,,,
18,0.83,0.76,0.36,1,1,,,,,,
19,0.9,0.76,0.28,1,1,,,,,,
20,0.81,0.73,0.31,0.99,0.99,,,,,,
21,0.84,0.76,0.24,1,1,,,,,,
22,0.95,0.72,0.27,0.99,0.99,,,,,,
23,0.91,0.79,0.4,1,1,,,,,,
24,0.78,0.8,0.56,0.98,0.98,,,,,,
25,0.92,0.79,0.42,1,1,,,,,,
26,0.71,0.76,0.32,1,1,,,,,,
27,0.91,0.82,0.3,1,1,,,,,,
28,0.82,0.77,0.3,1,1,,,,,,
29,0.88,0.8,0.41,0.99,0.99,,,,,,
30,0.84,0.84,0.59,1,1,,,,,,
31,0.86,0.77,0.4,1,1,,,,,,
32,0.82,0.76,0.49,1,1,,,,,,
33,0.81,0.79,0.28,1,1,,,,,,
34,0.85,0.8,0.42,1,1,,,,,,
35,0.88,0.79,0.29,1,1,,,,,,
36,0.8,0.84,0.57,1,1,,,,,,
37,0.89,0.75,0.31,1,1,,,,,,
38,0.85,0.82,0.48,1,1,,,,,,
39,0.86,0.84,0.42,1,1,,,,,,
40,0.82,0.79,0.44,0.97,0.97,,,,,,
41,0.83,0.76,0.39,1,1,,,,,,
42,0.78,0.75,0.43,1,1,,,,,,
