,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.85,0.67,0.75,0.84,0.83,0.83,0.23,0.15,0.05,0.07
1,0.87,0.57,0.69,0.87,0.81,0.84,0.34,0.1,0.05,0.07
2,0.86,0.63,0.72,0.81,0.8,0.81,0.27,0.13,0.06,0.07
3,0.76,0.63,0.69,0.84,0.82,0.83,0.32,0.28,0.12,0.17
4,0.92,0.72,0.81,0.84,0.83,0.84,0.38,0.18,0.09,0.09
5,0.93,0.74,0.82,0.83,0.79,0.81,0.47,0.22,0.14,0.13
6,0.88,0.84,0.86,0.85,0.86,0.86,0.31,0.33,0.14,0.19
7,0.88,0.65,0.75,0.81,0.81,0.81,0.29,0.19,0.07,0.1
8,0.93,0.4,0.56,0.81,0.72,0.76,0.25,0.01,0.01,0.01
9,0.95,0.73,0.83,0.82,0.81,0.82,0.25,0.1,0.06,0.06
10,0.86,0.73,0.79,0.84,0.82,0.83,0.31,0.3,0.1,0.16
11,0.91,0.65,0.76,0.85,0.83,0.84,0.4,0.21,0.09,0.09
12,0.91,0.63,0.74,0.82,0.8,0.81,0.19,0.08,0.04,0.05
13,0.91,0.67,0.77,0.85,0.81,0.83,0.28,0.09,0.04,0.05
14,0.9,0.71,0.8,0.82,0.81,0.81,0.34,0.14,0.08,0.1
15,0.76,0.62,0.68,0.85,0.83,0.84,0.22,0.28,0.06,0.13
16,0.8,0.54,0.65,0.88,0.8,0.84,0.39,0.16,0.09,0.1
17,0.77,0.64,0.7,0.84,0.82,0.83,0.28,0.28,0.12,0.18
18,0.77,0.76,0.77,0.86,0.87,0.86,0.37,0.54,0.19,0.2
19,0.82,0.67,0.74,0.84,0.84,0.84,0.25,0.2,0.07,0.08
20,0.86,0.62,0.72,0.81,0.79,0.8,0.45,0.17,0.09,0.1
21,0.95,0.65,0.77,0.86,0.8,0.83,0.59,0.19,0.14,0.11
22,0.92,0.71,0.8,0.85,0.84,0.84,0.36,0.18,0.08,0.08
23,0.93,0.68,0.78,0.83,0.82,0.83,0.25,0.13,0.07,0.07
24,0.82,0.67,0.74,0.86,0.82,0.84,0.4,0.25,0.11,0.13
25,0.89,0.73,0.8,0.85,0.82,0.84,0.4,0.39,0.18,0.19
26,0.85,0.6,0.7,0.85,0.81,0.83,0.27,0.12,0.04,0.06
27,0.85,0.65,0.74,0.83,0.8,0.82,0.28,0.16,0.08,0.11
28,0.76,0.63,0.69,0.84,0.81,0.82,0.27,0.16,0.04,0.07
29,0.89,0.74,0.81,0.84,0.83,0.84,0.39,0.2,0.11,0.1
30,0.83,0.65,0.73,0.82,0.81,0.82,0.26,0.31,0.09,0.13
31,0.9,0.58,0.7,0.8,0.78,0.79,0.19,0.09,0.04,0.04
32,0.85,0.68,0.76,0.83,0.83,0.83,0.28,0.27,0.1,0.13
33,0.85,0.73,0.78,0.84,0.83,0.84,0.19,0.22,0.05,0.09
34,0.84,0.7,0.76,0.87,0.83,0.85,0.43,0.26,0.16,0.17
35,0.9,0.76,0.82,0.87,0.84,0.85,0.49,0.35,0.26,0.31
36,0.89,0.64,0.75,0.83,0.81,0.82,0.25,0.15,0.05,0.07
37,0.85,0.68,0.75,0.84,0.81,0.82,0.24,0.19,0.09,0.1
38,0.64,0.62,0.63,0.82,0.79,0.8,0.2,0.23,0.02,0.11
39,0.82,0.59,0.68,0.85,0.8,0.83,0.27,0.18,0.05,0.09
40,0.9,0.74,0.81,0.87,0.86,0.86,0.44,0.29,0.16,0.17
41,0.88,0.66,0.75,0.83,0.81,0.82,0.19,0.06,0.02,0.03
42,0.83,0.67,0.74,0.82,0.81,0.81,0.26,0.16,0.05,0.07
43,0.89,0.63,0.74,0.84,0.81,0.82,0.25,0.03,0.02,0.02
44,0.77,0.67,0.72,0.83,0.83,0.83,0.26,0.1,0.04,0.06
45,0.86,0.67,0.75,0.82,0.81,0.82,0.26,0.18,0.06,0.08
46,0.83,0.71,0.76,0.82,0.82,0.82,0.28,0.28,0.06,0.1
47,0.91,0.65,0.76,0.92,0.84,0.88,0.62,0.2,0.17,0.19
48,0.87,0.76,0.81,0.84,0.83,0.83,0.28,0.3,0.12,0.15
49,0.76,0.7,0.73,0.85,0.83,0.84,0.3,0.24,0.08,0.11
50,0.9,0.58,0.71,0.86,0.81,0.83,0.35,0.19,0.07,0.12
51,0.92,0.7,0.79,0.82,0.83,0.83,0.23,0.11,0.05,0.07
52,0.93,0.76,0.84,0.84,0.84,0.84,0.33,0.17,0.09,0.09
53,0.81,0.66,0.73,0.85,0.82,0.84,0.27,0.25,0.07,0.13
54,0.84,0.65,0.73,0.85,0.81,0.83,0.4,0.2,0.08,0.13
55,0.87,0.6,0.71,0.83,0.8,0.82,0.33,0.08,0.03,0.04
56,0.58,0.54,0.56,0.83,0.8,0.82,0.29,0.2,0.04,0.11
57,0.84,0.76,0.8,0.88,0.87,0.88,0.4,0.51,0.31,0.32
58,0.83,0.62,0.71,0.85,0.81,0.83,0.36,0.13,0.06,0.07
59,0.76,0.58,0.66,0.85,0.81,0.83,0.31,0.18,0.04,0.09
60,0.86,0.63,0.73,0.81,0.8,0.8,0.26,0.17,0.05,0.07
61,0.88,0.73,0.8,0.84,0.84,0.84,0.39,0.23,0.15,0.14
62,0.92,0.69,0.79,0.85,0.84,0.85,0.32,0.08,0.04,0.04
63,0.86,0.62,0.72,0.86,0.78,0.82,0.26,0.1,0.06,0.08
64,0.89,0.71,0.79,0.84,0.84,0.84,0.37,0.11,0.06,0.06
65,0.91,0.7,0.79,0.82,0.82,0.82,0.45,0.23,0.11,0.11
66,0.9,0.68,0.77,0.84,0.8,0.82,0.36,0.23,0.08,0.1
67,0.85,0.62,0.72,0.83,0.82,0.83,0.23,0.12,0.04,0.05
68,0.88,0.68,0.77,0.85,0.84,0.84,0.2,0.12,0.04,0.05
69,0.93,0.55,0.69,0.83,0.8,0.82,0.3,0.1,0.05,0.05
70,0.8,0.7,0.74,0.84,0.84,0.84,0.22,0.35,0.1,0.12
71,0.8,0.6,0.69,0.85,0.81,0.83,0.42,0.17,0.06,0.09
72,0.86,0.61,0.71,0.83,0.8,0.81,0.18,0.12,0.03,0.06
73,0.9,0.67,0.77,0.83,0.82,0.83,0.28,0.15,0.04,0.07
74,0.6,0.8,0.69,0.8,0.87,0.84,0.28,0.66,0.22,0.39
75,0.95,0.59,0.72,0.82,0.81,0.81,0.32,0.05,0.03,0.03
76,0.9,0.71,0.79,0.84,0.79,0.81,0.33,0.17,0.09,0.09
77,0.94,0.69,0.8,0.83,0.79,0.81,0.34,0.15,0.1,0.12
78,0.81,0.54,0.65,0.85,0.79,0.82,0.22,0.12,0.04,0.07
79,0.91,0.74,0.82,0.84,0.83,0.84,0.34,0.12,0.07,0.08
80,0.79,0.65,0.71,0.83,0.8,0.81,0.18,0.25,0.03,0.1
81,0.88,0.66,0.76,0.85,0.83,0.84,0.39,0.26,0.15,0.19
82,0.82,0.69,0.75,0.85,0.83,0.84,0.24,0.16,0.06,0.09
83,0.73,0.65,0.69,0.83,0.81,0.82,0.25,0.19,0.05,0.1
84,0.82,0.56,0.66,0.84,0.79,0.82,0.19,0.1,0.02,0.05
