,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
0,0.66,0.52,0.58,0.78,0.78,0.78,0.16,0.12,0.01,0.07
1,0.64,0.55,0.6,0.8,0.79,0.79,0.14,0.11,0.01,0.06
2,0.59,0.49,0.53,0.8,0.77,0.78,0.18,0.06,0.01,0.04
3,0.57,0.49,0.53,0.8,0.78,0.79,0.21,0.11,0.0,0.06
4,0.62,0.55,0.58,0.77,0.78,0.77,0.24,0.1,0.01,0.06
5,0.67,0.58,0.62,0.77,0.73,0.75,0.17,0.11,0.02,0.07
6,0.53,0.46,0.49,0.73,0.78,0.75,0.12,0.05,0.01,0.04
7,0.61,0.55,0.58,0.79,0.79,0.79,0.25,0.08,0.01,0.05
8,0.64,0.47,0.54,0.79,0.74,0.76,0.17,0.04,0.0,0.03
9,0.73,0.49,0.59,0.8,0.78,0.79,0.18,0.04,0.01,0.02
10,0.66,0.52,0.58,0.81,0.77,0.79,0.21,0.09,0.01,0.05
11,0.66,0.46,0.54,0.79,0.77,0.78,0.19,0.08,0.01,0.04
12,0.72,0.51,0.59,0.79,0.78,0.79,0.19,0.05,0.01,0.03
13,0.69,0.45,0.54,0.81,0.76,0.79,0.15,0.02,0.0,0.01
14,0.61,0.52,0.56,0.78,0.77,0.77,0.16,0.07,0.01,0.04
15,0.49,0.53,0.51,0.79,0.8,0.79,0.13,0.27,0.03,0.13
16,0.57,0.52,0.54,0.8,0.79,0.79,0.19,0.19,0.01,0.07
17,0.63,0.53,0.57,0.81,0.79,0.8,0.23,0.15,0.02,0.08
18,0.43,0.54,0.48,0.76,0.79,0.78,0.15,0.29,0.02,0.16
19,0.63,0.44,0.52,0.8,0.77,0.79,0.18,0.03,0.0,0.02
20,0.7,0.48,0.57,0.79,0.75,0.77,0.21,0.11,0.01,0.06
21,0.64,0.53,0.58,0.79,0.77,0.78,0.21,0.16,0.01,0.07
22,0.67,0.45,0.54,0.78,0.77,0.77,0.17,0.02,0.0,0.01
23,0.66,0.51,0.58,0.78,0.78,0.78,0.27,0.07,0.01,0.04
24,0.6,0.55,0.57,0.79,0.77,0.78,0.19,0.19,0.03,0.1
25,0.58,0.44,0.5,0.8,0.77,0.78,0.17,0.13,0.01,0.07
26,0.7,0.51,0.59,0.78,0.78,0.78,0.17,0.05,0.01,0.03
27,0.66,0.61,0.63,0.78,0.78,0.78,0.26,0.16,0.02,0.08
28,0.52,0.56,0.54,0.77,0.78,0.78,0.16,0.16,0.0,0.08
29,0.64,0.47,0.54,0.79,0.76,0.77,0.24,0.02,0.0,0.01
30,0.62,0.54,0.58,0.79,0.79,0.79,0.2,0.13,0.01,0.07
31,0.63,0.46,0.54,0.79,0.75,0.77,0.23,0.07,0.01,0.03
32,0.65,0.59,0.62,0.81,0.81,0.81,0.17,0.23,0.02,0.09
33,0.6,0.54,0.57,0.79,0.8,0.79,0.17,0.16,0.01,0.08
34,0.57,0.5,0.53,0.78,0.78,0.78,0.17,0.13,0.02,0.08
35,0.59,0.56,0.58,0.8,0.78,0.79,0.18,0.2,0.02,0.1
36,0.66,0.52,0.59,0.8,0.78,0.79,0.13,0.05,0.01,0.03
37,0.6,0.48,0.53,0.79,0.78,0.78,0.15,0.12,0.01,0.07
38,0.6,0.62,0.61,0.77,0.79,0.78,0.2,0.35,0.02,0.16
39,0.65,0.55,0.6,0.8,0.78,0.79,0.14,0.12,0.01,0.06
40,0.57,0.6,0.58,0.79,0.78,0.78,0.22,0.13,0.03,0.07
41,0.7,0.57,0.63,0.79,0.8,0.79,0.16,0.05,0.01,0.03
42,0.69,0.42,0.52,0.81,0.76,0.78,0.12,0.03,0.0,0.02
43,0.66,0.54,0.59,0.8,0.79,0.79,0.11,0.03,0.0,0.02
44,0.65,0.55,0.59,0.79,0.78,0.78,0.19,0.07,0.01,0.04
45,0.65,0.54,0.59,0.78,0.78,0.78,0.12,0.07,0.01,0.04
46,0.63,0.56,0.59,0.79,0.79,0.79,0.17,0.14,0.02,0.06
47,0.59,0.35,0.44,0.79,0.75,0.77,0.09,0.03,0.0,0.02
48,0.68,0.57,0.62,0.8,0.78,0.79,0.21,0.15,0.02,0.07
49,0.56,0.49,0.52,0.8,0.78,0.79,0.24,0.11,0.0,0.06
50,0.58,0.49,0.53,0.78,0.78,0.78,0.18,0.2,0.01,0.11
